text,salary_benefits,training_learning,management_leadership,culture_environment,office_workspace,work_hours_workload,career_growth_opportunities,process_policies,hr_recruitment,project_technology,job_security,general,company,reviewer_id
"mình từng làm ở công_ty lớn , qua đây thấy quy_trình gọn hơn , nhưng vẫn rất bài_bản . không quan_liêu , team thân_thiện .",0,0,0,1,0,0,0,1,0,0,0,0,123 Website,90299f
"làm part time vẫn được coi_trọng như full_time . lịch linh_hoạt , có_thể trao_đổi với quản_lý nếu cần nghỉ hoặc dời_lịch .",0,0,1,1,0,1,0,0,0,0,0,0,123 Website,1f7a98
"làm web với react , vuejs ở đây sướng . thiết_kế đưa rõ_ràng , không phải đoán . dev được đưa ý_kiến để cải_thiện ui ux .",0,0,0,1,0,0,0,1,0,1,0,0,123 Website,d145fb
công_ty thân_thiện . làm_việc có trách_nhiệm . sẽ ủng_hộ công_ty này dài_hạn .,0,0,0,1,0,0,0,0,0,0,0,1,123 Website,7b1a70
"né gấp nha mấy bạn , giống như mấy cmt kia , bảo_hiểm thì không đóng vào app thì nợ mấy tháng gần cả năm khám bệnh chụp bill lại thì kiếm cớ né_tránh không chi_trả , làm_việc thì toàn hứa_sếp như quần_què",2,0,2,0,0,0,0,0,0,0,0,0,123 Website,2ce85e
"mình làm sales ở đây hơn 1 năm , chứng_kiến công_ty từ 20 người lên hơn 100 người , chính_sách kd nhiều khi không ổn lắm nhưng được_cái lương sales so với các công_ty khác khá cao . ngoài_ra văn_hóa dn xây_dựng rất tốt , tinh_thần đoàn_kết và ăn_chơi nhảy_múa cao .",1,0,0,1,0,0,0,2,0,0,0,0,1Office| Workway,01f161
"đã từng làm ở đây , những member làm trên 6 tháng vào chính_thức thưởng tết cũng chỉ được 500 k , còn những member dưới 6 tháng vừa không được đóng bh lại không có thưởng tết , ngày lễ , tết_dương , trung_thu không có gì , nói_chung chế_độ phúc_lợi kém , lương thì bèo , môi_trường thì chán . có ông [_PERSON ] giám_đốc quen được mấy bọn nhà_báo nên lên truyền_hình cho_hay thôi chứ thực_chất chả có cái vẹo gì",2,0,2,2,0,0,0,0,0,0,0,0,1Office| Workway,a68738
"nói_chung thì éo có gì để nói , chỉ là công_ty này không nên vào làm anh_em à",0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,d6e87a
"lương thưởng làm_gì có đâu , review lương thì 12 tháng tính từ thời_gian ký hợp_đồng , nhưng có_thể bị reject không tăng . sếp thì toàn soi rồi dìm nhân_viên . đéo hiểu sao có người gắn_bó lâu_dài ở đây được",2,0,2,0,0,0,0,2,0,0,0,2,1Office| Workway,dcfb04
"công_ty như sshit , né gấp kẻo hối_hận",0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,23b570
"không còn từ nào có_thể miêu_tả được người sếp ở đây cái gì cũng chen vào xử_lý , từ việc nhỏ nhất . lúc_nào cũng quát_mắng to_tiếng đập bàn đập ghế với nhân_viên , luôn coi mình là đúng cũng phải công_ty của ông thích làm đéo gì thì ông làm quản_lí cấp trung vào làm được 1 thời_gian là chạy mất_dép vì éo_chịu nổi tính sếp . bod lật mặt nhanh như trở bàn_tay , nghỉ cũng không yên , tìm mọi cách trừ lương . đồng_nghiệp mọi người khá hòa đồng , vui_vẻ , thân_thiện . không_gian làm_việc thoáng . tuy_nhiên , sẽ có những con_người lắm chuyện , hay chọc bạn sau lưng lúc_nào mà bạn đéo biết .",2,0,2,3,1,0,0,0,0,0,0,0,1Office| Workway,f4c3f6
công_ty sida nhất từng làm,0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,41979e
"trong đợt dịch thứ 2 bùng_phát thì đúng lúc công_ty tổ_chức đi du_lịch . mọi người ai cũng sợ đi , nhân_viên trong hcm mới bàn không đi_nữa thì sếp t mới nổi_khùng , bảo là giờ ai không đi thì bỏ tiền_túi ra đền tiền máy_bay . nghe buồn_cười ép nhân_viên đi . nch công_ty làm_việc không chuyên_nghiệp sếp t lúc_nào bị khách chửi họp sẵn_sàng đm nhân_viên như thường .",0,0,2,2,0,0,0,2,0,0,0,0,1Office| Workway,a47a6a
"sếp cục súc , chửi nhân_viên thì không ra gì . mới vào được nửa tháng mà đêm ngủ giật_mình thom_thóp . lượn nhanh còn kịp",0,0,2,0,0,2,0,0,0,0,0,0,1Office| Workway,1d4e5b
trong chán thì ngoài cũng đừng thèm . có thời_gian sẽ review hết từ chế_độ đến môi_trường,0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,b81484
"công_ty như lìn , không nên apply . sẽ phải hối_hận",0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,edddfe
"pm thì như ma_trận , mỗi chỗ 1 kiểu , đã vậy còn hay lỗi hay thiếu nhưng được_cái mấy ông dev hài_lòng về sản_phẩm của mình lắm các bác ạ . làm_việc được mấy tháng mà sợ chạy mất_dép , nói_chung là không nên vào , phí thanh_xuân mấy tháng rồi mà chả được cái gì .",0,0,0,2,0,0,2,2,0,2,0,0,1Office| Workway,bb0d6c
"công_ty như cái quần_què , giẻ_rách , keo_kiệt , bủn_xỉn , từ ceo cho tới đội dev . mấy review tốt tốt chắc giờ thuê được marketing dập rồi",2,0,2,0,0,0,0,0,0,0,0,0,1Office| Workway,6342c0
"mình review thời_gian hiện_tại của công_ty tháng 6 2020 đóng bảo_hiểm thử việc xong 2 tháng , nhưng công_ty chưa đóng bảo_hiểm khi đã làm 4 tháng phần_mềm lỗi thì khỏi phải bàn , xuất báo_cáo chắc 1 2 ngày mới xong , chỉ được mỗi cái giao_diện copy ở mấy trang nước_ngoài về nhìn có cảm_tình hơn mấy pm cũ cũ . lương tin tuyển_dụng rõ cao nhưng thực_tế nèo_tèo , nhân_viên nghỉ liên_tục . kn 2 3 năm trả 7 8 tr , với chả bh có chuyện tăng lương , làm 2 3 năm tăng được 500 k",2,0,0,2,0,0,0,2,2,2,0,0,1Office| Workway,afd2b5
"review chút còn vô hay không là do các bác sếp như gấu_trúc kinh_kinh , hở_tí là chửi nhân_viên , không biết đúng_sai cũng cứ chửi đã và không nghe giải_thích ? , công_ty không có nghỉ_phép , được mỗi cái phụ_cấp gửi xe thì đi muộn mấy phút cũng trừ , đãi_ngộ nhân_viên kém",2,0,2,0,0,2,0,2,0,0,0,0,1Office| Workway,5cc0b6
"em vừa vào , được phết mà . đợi 1 năm sau quay lại đánh_giá lại nhé",0,0,0,0,0,0,0,0,0,0,0,1,1Office| Workway,eedaf8
"mới vào , được quan_tâm phết công_việc chưa có gì khó_chịu sẽ kiểm_nghiệm báo lại anh_em sau 3 tháng nữa",0,0,0,1,0,1,0,0,0,0,0,0,1Office| Workway,ff022f
"né đi các bác ! công_ty này chán từ tất_cả mọi thứ luôn . sếp trông như con gấu , làm_việc thì như con_hổ mà lương lậu như con kiến còn đãi_ngộ thì tàng_hình nói_chung là sếp khinh người , văn_hóa công_ty không có và nhân_viên ở lại thì ếch ngồi đáy giếng tâng bốc nhau .",2,0,2,2,0,0,0,0,0,0,0,0,1Office| Workway,4d5594
"đã từng làm_việc ở đây , chưa gặp công_ty nào củ chuối như công_ty này , sếp thì bần_tiện , bẩn_tính cứ có gì không hài_lòng là lại về trút_giận với nhân_viên , còn ăn quỵt_lương của nhân_viên . khuyên mọi người đừng nên vào đây làm",2,0,2,0,0,0,0,0,0,0,0,2,1Office| Workway,0ed7ec
"chức_năng phần_mềm thì cùi mía . kiểu làm ra để cho học_sinh xài mà quảng_cáo cho doanh_nghiệp xài . dmn ! khách_hàng toàn than_phiền , mà mãi chả bao_giờ hoàn_tất từ quý này đến quý khác . làm_ăn kiểu lừa_đảo .",0,0,2,0,0,0,0,2,0,2,0,0,1Office| Workway,f6f0a1
"các bạn ơi , các bạn né công_ty này ra nhé , công_ty là_là công_ty lừa_đảo ạ , em làm chi_nhánh hồ chí_minh còn bị lừa và quỵt bớt lương . không_những lừa nhân_viên mà_còn lừa_đảo cả khách_hàng ạ . sếp [ PERSON_] nói hay nhưng xấu_tính và bẩn_tính lắm ạ , mong các bạn_đọc được và tránh",2,0,2,0,0,0,0,0,0,0,0,2,1Office| Workway,08bcad
max sida . méo gì cứ thấy doanh_số cao là nghĩ cách hạ được thưởng xuống . không biết giờ đã đỡ bẩn chưa ?,2,0,2,0,0,0,0,0,0,0,0,0,1Office| Workway,eed440
"cảm_thấy may_mắn khi rời khỏi đây , chế_độ kém , sếp cục súc .",2,0,2,0,0,0,0,0,0,0,0,2,1Office| Workway,e21048
"công_ty môi_trường khá thoải_mái , lương vừa không cao nhưng cũng không thấp , bị cái chính_sách thay_đổi ành_ạch , tháng trước tháng sau chính_sách đã khác , nhìn_chung cấp trên khá ổn , trừ vài người ở trụ_sở hn",3,0,1,1,0,0,0,2,0,0,0,0,1Office| Workway,d83e75
"review dài thì ít ai đọc , chê bai ngắn thì đầy người xem . mình làm ở đây 2 năm rưỡi rồi chưa muốn rời đi , thứ nhất về những kiến_thức mình nhận được , thứ hai là tình_cảm gắn_bó cùng đồng_nghiệp . giờ có bị đuổi thì mới đi thôi . công_ty đáng để các bạn thử_sức , quan_trọng là chính_kiến cá_nhân và năng_lực bản_thân mình phát_triển đến đâu . hy_vọng sẽ được làm đồng_nghiệp sắp tới của anh_em . welcome welcome",0,1,0,1,0,0,1,0,0,0,0,0,1Office| Workway,d8de7f
"công_ty này quỵt lương nhân_viên , trốn đóng bảo_hiểm và thuế . mọi người nên né không thì đi làm_không công đấy",2,0,0,0,0,0,0,0,0,0,0,0,1Office| Workway,b8dbc8
"mình thấy nhiều người review về công_ty khá là tệ , mình không biết những người đó đã thực_sự làm_việc ở đây trước khi review chưa hay chỉ nghe lại , nhưng mình sẽ đánh_giá công_ty ở đây theo đúng những gì mình được trải qua và cảm_nhận về môi_trường làm_việc mọi người trong công_ty vô_cùng trẻ_trung và năng_động tầm 9 x là nhiều , khi mới bắt_đầu mình còn bỡ_ngỡ thì được mọi người giúp_đỡ rất nhiệt_tình , giúp mình hòa_nhập với văn_hóa công_ty rất nhanh , ngoài_ra a_trưởng phòng team mình còn là một người rất vui_tính và thích chơi game nên mình hay rủ a tp chơi game cùng mọi người trong công_ty đặc_biệt là các sếp , vô_cùng nghiêm_túc và nghiêm_khắc trong công_việc đi làm mà không nghiêm_khắc thì nhân_viên làm_loạn , muốn làm_gì thì làm à , còn lúc vui_chơi thì mọi người cùng nhau chơi hết_mình , lúc đó cảm_giác của mình như không còn khoảng_cách giữa nhân_viên hay leader nữa . lương thưởng lương thử việc , chính_thức cũng như thời_gian từ thử việc lên chính_thức đều được deal lúc đi phỏng_vấn rồi , mọi người cảm_thấy hợp_lý thì mới đi làm thử việc của mình là 6 tr , thử việc 1 tháng , lên chính_thức là 8 tr , lúc ký hợp_đồng sẽ có một_vài điều_khoản khác với deal cái này phải đi làm thật_sự mới biết được , tuy_nhiên lợi_ích sẽ không thiệt đi đâu cả nếu bạn là nhân_viên làm_việc có tâm và nghiêm_túc",1,1,1,1,0,0,0,2,3,0,0,0,1Office| Workway,b1617b
"đây không phải môi_trường để phát_triển bản_thân . nếu bạn bạn cần học thêm điều gì đó về chuyên_môn , mong_muốn một môi_trường làm_việc happy , một doanh_nghiệp có văn_hóa tốt thì [ COMPANY_] không phải là chỗ bạn đang tìm . cảm_hứng làm_việc ở đây cũng",0,2,0,2,0,0,2,0,0,0,0,0,1Office| Workway,85a087
"đã từng chứng_kiến có những người đạt được cả trăm triệu một tháng , lương ở đây không phải lương cứng như làm ở các cơ_quan nhà_nước , ở đây làm_việc dựa trên năng_lực , người nào làm nhiều hưởng nhiều , làm ít hưởng ít , cơ_hội chia đều cho tất_cả mọi người . đi làm không làm được chỉ săm_soi về khuyết_điểm của công_ty thì cả đời chả khá được , mấy bạn chê ở đây cho mình hỏi công_ty nào hoàn_hảo như các bạn miêu_tả thế để mình xin vào làm với .",1,0,0,1,0,0,1,0,0,0,0,0,1Office| Workway,fc1715
"bạn nào yêu thích nghề sale , muốn tăng skill , kiếm nhiều tiền , quen được đồng_nghiệp cute hạt me thì nên ứng_tuyển vào đây nha . không hề phí đâu",1,1,0,1,0,0,0,0,0,0,0,0,1Office| Workway,cae29f
ngoài e_hr xinh ra thì công_ty đéo có gì để vào đâu anh_em ạ . né gấp còn kịp,0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,c5fe46
"công_ty nào chả có cái nọ cái kia , bù lại đồng_nghiệp đúng tình_cảm , hòa đồng , làm_việc cũng thoải_mái chạy số",0,0,0,1,0,1,0,0,0,0,0,0,1Office| Workway,bd2ef6
"éo biết anh_em làm ở đây thế_nào , đọc thấy toàn review của mấy bạn nghỉ rồi bức_xúc nên quay lại chửi công_ty mình làm ở đây hơn 1 năm , nói_chung chấm được 7/10_ceo nóng_tính nhưng_mà tình_cảm , xúc_động toàn khóc cto thì như người ngoài hành_tinh nhưng giỏi vc luôn đ kinh_doanh thì nhiệt_tình , điềm_đạm mỗi tội đầu_hói chị trợ_lý thì giỏi công_ty thiếu_trưởng bộ_phận nào thì bà í làm hết , mà giờ chắc nghỉ_sinh rồi thích nhất văn_phòng đẹp , hay tổ_chức ăn_chơi chế_độ thì chưa rõ_ràng nhưng làm tốt vẫn được tăng lương chỉ không thích mấy em_gái cứ nghĩ mình là bố thiên_hạ nên hay vênh mặt",1,0,1,3,1,0,0,2,0,0,0,1,1Office| Workway,5da2fa
"lúc sale thì nhiệt_tình , đến lúc kí hợp_đồng triển_khai xong rồi , thì dev thụ_động chả có support gì hết",0,0,0,1,0,0,0,2,0,0,0,0,1Office| Workway,52bb39
"đã từng làm ở đây , sản_phẩm khá hay và đúng chất thời_đại_4.0 , khách_hàng cũng dễ kiếm và nhu_cầu đổi_mới cũng cao . cứ tập_trung vào làm là có ngay doanh_số thôi . môi_trường kinh_doanh thì trẻ , năng_động . sếp cũng không khó tính hcm nhé các mình ơi . chuyện công_ty thì có rất nhiều nhưng mình chả quan_tâm mấy , chủ_yếu vào làm kiếm tiền thôi . nói túm lại là mình thấy ổn . chỉ là không làm lâu được do chuyển đi nơi khác ở rồi",0,0,1,1,0,0,0,0,0,1,0,1,1Office| Workway,187a61
"mấy con hr [ COMPANY_] từ đời hr tên [ PERSON_] làm_ăn mất_dạy , năng_lực tệ hết chỗ nói",0,0,0,0,0,0,0,0,2,0,0,0,1Office| Workway,5c42d3
"tháng 1 cả thưởng gần trăm củ . tháng 2 nghỉ tết nên sương sương 10 m . tháng 3 tập_trung nhiều thứ nên có 30 m . đây là lương của mình ở . [ COMPANY_] , và mình đ nói_xấu công_ty . các ông nói_xấu toàn kiểu không làm được_việc thì mới thế , chứ cứ lương cao như bọn tôi đi xem .",1,0,0,0,0,0,0,0,0,0,0,0,1Office| Workway,fed64c
"sau vài tháng lm ở công_ty thì mình thấy công_ty nào thì cũng như nhau , sẽ có người làm tốt nhưng không có cơ_hội thể_hiện năng_lực hoặc có năng_lực nhưng không được nhìn_nhận . cũng sẽ có những người được ưu_ái thì luôn có thành_tích cao hơn . cho_nên đôi_lúc chăm_chỉ siêng_năng có tinh_thần cầu_tiến thì chưa chắc nhận lại những thứ xứng_đáng , kiểu cũng phải tùy_duyên nữa cơ so với các công_ty khác thì nhân_viên ở đây đa_số còn trẻ làm b2b nhưng vẫn chưa chuyên_nghiệp lắm",0,0,2,2,0,0,2,0,0,0,0,0,1Office| Workway,8bf463
"chưa bàn đến chính_sách , ai có năng_lực thì ngta không rảnh lên đây review chê_bai này nọ đâu . sale công_ty nào mà không chạy số bục mặt , còn đã không chạy nổi lại lôi chính_sách này nọ ra . đến chịu",0,0,0,0,0,3,0,0,0,0,0,0,1Office| Workway,f676df
"gửi hồ_sơ thì mất , công_ty không chuyển được cũng không hoàn lại thư , cước_phí thì đắt gấp đôi những hãng chuyển_phát khác . dịch_vụ rất tệ .",0,0,0,0,0,0,0,0,0,0,0,2,247 Express,e6462f
"một công_ty vô_cùng đáng sợ , đấu đá tranh_giành nói_xấu nhau đủ kiểu , đi làm mà như đi đánh_trận . bà trưởng phòng kinh_doanh gì đó thì ác như quỷ , chửi nhân_viên hơn chó , chửi trước mặt toàn nhân_viên công_ty để cho nhục . chuyên đi nói_xấu các phòng_ban khác , lúc_nào cũng thích nghe nịnh_nọt . thêm được mấy người leader suốt ngày nịnh_nọt , đi làm kiếm tiền mà cứ như đi ăn_xin vậy",0,0,2,2,0,0,0,0,0,0,0,0,247 Express,31d10f
"bức_xúc quá nay lên giải_tỏa cùng anh_em nè hr nhận cv của ứng_viên mà không thèm đọc , cứ thấy nộp là auto gọi đi phỏng_vấn mà không sàng_lọc xem có phù_hợp với yêu_cầu công_ty hay không , làm mất thời_gian của cả 2 bên . hẹn ứng_viên 14 h , mới 13 h gọi hỏi ủa em ơi em đang ở đâu , sao chị mời em 13 h mà ? ! mình trả_lời từ tốn hẹn 14 h_lận mà chị , nhưng nếu chị muốn phỏng_vấn sớm em sẽ có_mặt lúc 13 h30 vì nhà em lên công_ty cũng hơi xa , cúp máy cái rụp . lên tới công_ty , không biết hr hay ai ra nhìn nhìn cv , xong hỏi ủa em chưa tốt_nghiệp à em ? xong bỏ đi 1 nước vô_phòng , 10 p sau quay ra bảo em về đi , chị trưởng phòng đi họp rồi , về đi bên anh hẹn em lên phỏng_vấn lại sau nha ? ! 13 h trưa chạy từ q8 qua q7 như 1 con điên để rồi nhận được câu nói vui ghê_ahihi . và từ đó về sau không hề có mail hay bất_kì cuộc_gọi nào hẹn đi phỏng_vấn lại , cũng như từ_chối mình hihihi công_ty chuyên_nghiệp quá nè chuyên tạo_nghiệp nha",0,0,0,0,0,0,0,0,2,0,0,0,247 Express,dc212b
"lương 6 triệu . làm từ 8 h sáng tới 8 h tối , văn_phòng nóng_nực không có điều hòa . khách_hàng khiếu_nại liên_tục , đấu đá nói_xấu dìm nhau . hãm_hại nhau , cướp khách_hàng nhau . làm 1 năm mới có bảo_hiểm . chán",2,0,0,2,2,2,0,0,0,0,0,0,247 Express,411709
"không biết công_ty này có chuyên_nghiệp hay không nhưng ngay từ đầu đi phỏng_vấn mình đã không muốn hợp_tác . để uv đợi hơn 30 mới được vào phòng phỏng_vấn . vào trong đó thì có chị kia phỏng_vấn mình , mình không nhớ chức_vụ chị đó là gì nhưng nhìn cách ăn_mặc và cách phỏng_vấn khác xa công_ty cũ của mình , không có tí chuyên_nghiệp gì cả . phỏng_vấn 4 5 là xong nhanh ghê . chẳng biết mình đậu hay rớt nhưng nếu đậu mình cũng không vào làm . à mình phỏng_vấn vị_trí nhân_viên kinh_doanh",0,0,0,2,0,0,0,0,2,0,0,0,247 Express,6b4d55
"sếp của phòng kinh_doanh đúng như dân chợ_búa , miệng lúc_nào cũng chửi . chưa tìm_hiểu câu_chuyện nhưng mở mồm_chửi trước cái đã mà chửi cho nhân_viên nể thì không nói còn bà này chửi toàn làm cho nhân_viên cười vô_mặt . sống thì thích nịnh nọt ai nịnh thì được cưng ai không biết nịnh thì sớm out vs bị đì",0,0,2,2,0,0,0,0,0,0,2,0,247 Express,145de9
"đừng nên vào công_ty này sẽ rất phí thời_gian , công_việc không rõ_ràng , chế_độ chính_sách mập_mờ , làm_việc thiếu trách_nhiệm , môi_trường không thân_thiện , chỉ là kiểu quan_hệ giả_lả hình_thức .",0,0,0,2,0,0,0,2,0,0,0,2,247 Express,e81ec4
"haizz , tui làm nhân_viên điều_hành ở 1 bưu_cục lớn , mà nói_thẳng ra lương lậu rất mập_mờ , làm từ 8 h sáng tới 8 h_tối mà lương 10 tr mng thấy xứng không ? bắt đi sale khách_hàng sử_dụng dịch_vụ trong khi toàn bán cho bên thứ 3 phát ở những tuyến huyện , tỉnh , rồi hay mất_thư để khách khiếu_nại miết . tiền thì mập_mờ , không rõ_ràng , chuyển tiền_lương cho nhân_viên ghi thanh_toán lương mà thực_ra phải chuyển trả lại cho trưởng bưu_cục ?_ủa có mắc cười quá_ôn_dạ ? rồi tết lãnh được 1 cục , xong bị bắt chuyển phân_nửa tiền lại cho giám_đốc vùng lãnh 20 tr phải trả lại 10 tr ? rồi ha , hiểu ha , ăn_chặn tiền nhân_viên mà sống vẫn tốt ghê . ai có ý_định làm ở đây thì đọc những dòng này của tui , tui không muốn mọi người thất_vọng như tui .",2,0,2,0,0,2,0,2,0,0,0,0,247 Express,2f42c6
treo đầu dê bán thịt chó là công_ty này !,0,0,0,0,0,0,0,0,0,0,0,2,247 Express,6793ca
